GrLArea,SalePrice
1795,230000
1060,129900
1060,154000
1600,256300
900,348200
1704,306000
1600,207500
542,833500
131,400600
1228,149350
1234,179900
1700,165500
1561,277500
2452,309000
1097,145000
1297,153000
1057,109000
115,820040
1324,160000
1328,170000
884,440200
938,305250
1150,141000
1752,319900
2149,239686
1656,249700
1452,113000
955,927000
1470,177000
1176,114500
816,104000
1842,385000
1360,130000
1425,180500
1739,172500
1720,196500
2945,438780
780,249400
1158,158000
1111,101000
1370,202500
1710,140000
2034,219500
2473,317000
2207,180000
1479,226000
745,457000
2287,225000
2223,244000
845,297500
1718,185000
1086,144900
1605,107400
958,167600
952,355750
1285,127000
1768,136500
1230,110000
2142,193500
1337,153500
1563,245000
1065,126500
1474,168500
2417,260000
1560,174000
1224,164500
152,855000
990,654500
1040,109900
123,978600
964,765000
2291,133900
1786,204750
1470,185000
1588,214000
956,447750
883,304500
1225,128950
1610,205000
1732,178000
1535,118964
1226,198900
1818,169500
1992,250000
1047,100000
789,154000
1517,115000
1844,190000
1855,136900
1430,180000
2696,383970
2259,217000
2320,259500
1458,176000
1092,139000
1125,155000
3222,320000
1456,163990
988,800400
1123,100000
1080,136000
1199,153900
1586,181000
575,442500
958,280400
684,706500
1348,155000
1053,150000
2157,226000
2054,244000
1327,150750
1296,220000
1721,180000
1682,174000
1214,143000
1959,171000
1852,230000
1764,231500
864,154000
1734,260000
1385,166000
1501,204000
1728,125000
1709,130000
875,598000
2035,222500
1080,141000
1344,115000
969,228000
1710,372402
1993,190000
1252,235000
1200,125000
109,789000
1040,109500
1968,269500
1947,254900
2462,320000
1232,162500
2668,412500
1541,220000
882,376200
1616,152000
1355,127500
1867,190000
2161,325624
1720,183500
1707,228000
1382,128500
1656,215000
1767,239000
1362,163000
1651,184000
2158,243000
2060,211000
1920,172500
2234,501837
968,654000
1525,177000
1802,200100
1340,120000
2082,200000
1252,127000
3608,475000
1217,173000
1656,135000
1224,153337
1593,286000
2727,315000
1479,184000
1431,192000
1709,130000
864,270000
1456,148500
1726,311872
3112,235000
2229,104000
1713,274900
1121,140000
1279,171500
1310,112000
848,493000
1284,110000
1442,180500
1696,143900
1100,141000
2062,277000
1092,145000
836,803700
1212,186000
1852,252678
990,567000
1392,161750
1236,134450
1436,210000
1328,107000
1954,311500
1248,167240
1498,204900
2267,200000
1552,179900
786,755000
2392,386250
1302,112000
2520,290000
987,624000
912,254000
1555,192500
1194,148000
2794,403000
598,476500
894,288200
1960,216500
498,492500
1414,185500
1744,194500
1694,318000
1487,113000
1566,262500
866,105050
144,790400
1217,120000
2110,205000
1872,241500
1928,137000
1375,140000
1668,180000
2144,277000
130,764300
1625,235000
1640,173000
1302,158000
1314,145000
2291,230000
1728,207500
1604,220000
1792,231500
1382,176000
2574,276000
1212,151000
1316,130000
276,300670
1422,175500
1511,185000
2192,179500
778,207500
1113,148000
1939,266000
1363,241500
2270,290000
1632,139000
816,824500
1548,205000
1560,201000
864,421000
2121,415298
2022,192000
1982,228500
1262,185000
1314,207500
1468,244600
1575,179200
1250,164700
1734,159000
285,802300
900,252000
1396,153575
1919,233230
1716,135900
1716,131000
2263,235000
1644,167000
1003,142500
1558,152000
1950,239000
1743,175000
1152,158500
1336,157000
2452,267000
1541,205000
894,492900
3493,295000
2000,305900
2243,225000
140,895030
286,255500
1944,360000
1501,165600
972,342000
1118,119900
2036,375000
1641,178000
1432,188500
2353,260000
1959,270000
2646,260000
1472,187500
2596,342643
2468,354000
2730,301000
1163,126175
2978,242000
280,703300
1719,324000
1383,145250
2134,214500
119,780300
1728,119000
1056,139000
1629,284000
1358,207000
1638,192000
1786,228950
1922,377426
1536,214000
1621,202500
1215,155000
1908,202900
284,432000
104,847500
1684,266000
111,850400
1577,140200
958,515500
1478,157500
1626,154000
2728,437154
1869,318061
1453,190000
111,958000
720,598700
1595,140000
1200,177500
1167,173000
1142,134000
1352,130000
1924,280000
912,561000
1505,145000
1922,198500
987,187000
1574,190000
1344,147000
1394,159000
1431,165000
1268,132000
1287,162000
1664,172400
1588,134432
752,251000
1319,123000
1928,219500
390,122000
914,482000
2466,340000
1856,394432
1800,179000
1691,127000
1301,187750
1797,213500
728,126000
1953,240000
1269,192000
118,817000
1125,125000
1479,191000
2332,426000
1367,119000
1961,215000
882,656500
788,786200
1034,109000
1144,129000
894,223000
1812,169500
107,627000
1550,241000
1288,245500
1310,164990
672,838000
2263,258000
1572,168000
1620,150000
1639,115000
1680,177000
2172,280000
2078,339750
127,660000
1056,145000
1478,222000
1028,115000
2097,228000
1400,149500
1134,126000
1344,206300
988,130700
1196,139000
1644,275000
1208,195400
928,547800
1365,122500
163,109700
1118,116000
669,879350
2402,555000
1573,162900
1908,210000
1888,190000
1376,119500
813,107000
1756,204000
1728,188000
134,984000
1666,161000
1935,263435
886,289383
1040,124000
1277,167000
1710,187000
1969,190000
1976,440000
970,325800
2643,380000
113,894871
1792,374000
1216,164000
1113,147000
1484,175000
623,678000
1578,133000
1269,155000
1388,133300
1072,495400
3228,430000
1820,184000
899,304000
912,200400
1218,113000
1768,226700
1214,140000
1801,289000
1322,147000
1960,124500
1911,215000
1218,208300
1378,161000
1041,124500
1368,202665
1080,134000
2020,402861
2344,265000
2080,234000
1244,150000
4676,184750
928,320600
1267,620200
1509,175000
827,780500
1414,178000
1347,107500
1601,272000
767,339000
928,129500
1048,113000
1557,234000
1674,185000
1535,214000
864,202000
1216,118500
1795,131500
2042,253293
816,185300
2775,325000
2028,369900
860,372000
1293,958000
2296,451950
848,400200
1826,319000
1402,194201
1556,151000
1375,141000
1200,151000
1986,205000
2008,225000
1029,118500
1032,148000
1120,147000
1054,137500
832,522500
2262,305000
2614,240000
1512,168500
1116,160000
1520,153000
2080,135000
1350,168500
1750,124000
1554,209500
141,825200
1056,139400
1056,144000
128,200000
280,290890
138,339080
2379,523000
1567,264561
1518,274000
1929,226000
2704,345000
1620,152000
981,423250
1094,155000
2363,214500
1510,108000
1469,135000
109,388000
1502,149000
1486,167000
2448,402000
1181,137500
1936,230500
1679,193500
1437,168000
1180,137500
1476,173500
1369,103600
1208,165000
1839,257500
1136,140000
1441,148500
177,817000
7192,932500
2046,372500
988,228500
7560,432000
1520,159434
1291,173000
1668,285000
1839,221000
2090,207500
1761,227875
1102,148800
1419,392000
1362,194700
848,410300
4316,755000
2519,335000
1073,108480
1539,141500
1137,176000
61,921000
1148,123500
894,382500
1391,196000
1800,312500
1164,140000
2576,361919
1812,140000
1484,213000
109,551000
1824,302000
1324,254000
1456,179540
904,329900
1172,222000
1178,102776
1228,189000
960,239000
1479,130500
1350,165000
2554,159500
1178,157000
2418,341000
971,238500
1742,275000
848,432000
864,243500
1470,135000
1698,320000
864,202500
1680,222000
1232,194500
1776,110000
1208,103000
1616,236500
1146,187500
2031,222500
1144,131400
948,811000
1768,163000
104,933500
1801,239900
1200,179000
1728,190000
1432,132000
912,422000
1349,179000
1464,175000
1337,180000
2715,299800
2256,236000
2640,265979
1720,260400
152,986000
114,964500
1320,162000
1494,217000
2098,275500
1026,156000
1471,172500
1768,212000
1386,158900
1501,179400
2531,290000
864,275200
1301,100000
1547,215200
2365,337000
1494,270000
1506,264132
1714,196500
1750,160000
1836,216837
3279,538000
858,334900
1220,102000
1117,107000
912,145500
1973,395000
1204,162000
1614,221500
894,423500
2020,144000
1004,135000
1253,176000
1603,175900
1430,187100
1110,165500
1484,128000
1342,161500
1652,139000
2084,233000
901,776900
2087,187500
1145,160200
1062,146800
2013,269790
1496,225000
1895,194500
1564,171000
1285,143500
773,120000
3140,485000
1768,175000
1688,200000
1196,109900
1456,189000
2822,582933
1128,118000
1428,227680
980,355100
1576,223500
1086,159950
2138,106000
1309,181000
848,445200
104,552993
1442,157900
1250,116000
1661,224900
1008,137000
1689,271000
1052,155000
1358,224000
1640,183000
293,332000
1733,225000
1489,139500
1489,232600
2084,385000
784,129500
1434,189000
2126,185000
1223,147400
1392,166000
1200,151000
1829,237000
1516,167000
1144,139950
1067,128000
1559,153500
3209,238900
1099,144000
1200,130500
1482,140000
1539,157500
1165,174900
1800,141000
1416,153900
1701,171000
1775,213000
864,333500
2358,240000
1855,187000
848,312500
1456,215000
1646,164000
1445,158000
1779,170000
1040,127000
1026,147000
1481,174000
1370,152000
2654,250000
1426,189950
1039,131500
1097,152000
1148,132500
1372,250580
1002,148500
1646,248900
1120,129000
2320,169000
1949,236000
1682,200500
1268,133000
2610,303477
2224,350000
864,365200
1717,187500
2230,118500
1709,328900
1393,135500
1505,149500
1683,172500
1383,165000
1796,140000
2240,142953
1236,135000
1306,153000
1670,240000
1063,128000
2057,250000
1484,174000
1268,143500
2002,145000
109,752000
1229,135000
1414,176500
2200,145900
1617,193000
1126,175000
1978,176000
2236,222000
925,175500
1500,190000
1274,659900
1971,253000
2403,244400
2060,214000
1632,143000
1869,124900
1629,270000
1381,197500
1278,199300
1968,172000
1958,145000
1057,132000
1416,155000
2872,272000
1800,239000
1484,178900
1098,135000
1095,140000
1626,173000
1428,182000
1382,165000
1241,199900
1121,139000
2612,336000
2290,255900
1164,125000
1940,395192
1576,197000
1742,168000
1500,173900
1230,121600
1442,185000
1208,206000
1269,323900
1680,136905
985,492900
1209,883000
1522,102000
1664,100000
1202,857000
1665,227000
1360,187500
1506,213490
1220,194000
1504,191000
882,122500
1646,293077
1620,315500
2263,287000
1134,973000
2363,212300
1803,155000
1632,173000
1306,196000
2329,262280
2524,278000
1733,139600
2868,556581
990,453000
1771,115000
2293,234900
1302,176485
1316,200141
1977,165000
1526,144500
1989,255000
1523,180000
1364,185850
1850,248000
2184,335000
1991,220000
1338,213500
3289,321000
233,920000
1103,110500
1154,154000
2260,328000
1571,178000
1611,167900
2521,151400
1048,135000
2145,913500
1240,194000
1466,170000
2848,559300
1258,145000
1459,192000
1498,187500
109,835300
1709,137500
1204,923900
1694,136500
936,239000
1355,127000
1324,128000
2343,234000
1134,135000
1302,106000
1442,179900
1690,181000
1658,188000
816,29900
833,173000
1419,184100
1601,140000
1012,118400
960,212000
1482,163900
1555,174000
1959,215000
1981,135000
2210,117500
1600,169000
1252,119000
1567,196000
952,393000
2828,424870
292,234320
1564,174500
1482,143000
1466,149900
2816,203500
1437,218000
1314,230000
1876,185000
1456,146000
1640,224000
2894,290300
1258,108959
1432,194000
1502,233170
1694,245350
1671,173000
2108,235000
3627,625000
1118,171000
1261,163000
1250,171900
3086,200500
2345,239000
2872,285000
923,219500
1224,115000
1343,154900
3112,193000
2514,250000
1652,392500
4476,745000
1130,120000
1572,186700
1221,104900
3169,950300
1624,262000
1660,195000
1804,189000
1622,168000
1441,174000
1472,125000
1224,165000
1352,158000
1456,176000
1863,219210
1690,144000
1212,178000
1382,148000
3864,160350
1779,197900
1348,117000
1630,213000
1074,153500
2196,271900
1056,107000
1700,200000
1283,140000
1660,290000
1845,189000
1752,164000
3672,321332
960,133000
1390,342500
894,225000
1902,112000
1314,229456
921,323500
121,915300
912,150200
1211,134000
1846,143000
2136,137900
1490,184000
1138,145000
1933,214000
912,472000
1702,367294
1507,127000
2620,190000
1190,132500
1224,101800
1188,142000
1964,130000
1784,138887
1626,175500
1948,195000
1141,142500
1484,265900
1768,224900
1689,248328
1173,170000
2076,465000
1517,230000
1868,178000
1553,186500
1034,169900
2058,129500
988,129000
2110,244000
1405,171750
874,303000
2167,294000
1656,165400
1367,127500
1987,301500
826,923900
1166,190000
1054,151000
1675,181000
1050,128900
1788,161500
1824,180500
1337,181000
1452,183900
1889,122000
2018,378500
3447,381000
1524,144000
1524,260000
1489,185750
935,379000
1357,177000
1250,139000
1920,137000
1395,162000
1724,197900
2031,237000
112,684080
1573,227000
1339,180000
1040,150500
1824,139000
2447,169000
1412,132500
1328,143000
1582,190000
1659,278000
1970,281000
1152,180500
1302,119500
2372,107500
1664,162900
864,150800
1052,138500
1128,155000
1072,140000
5642,160000
1246,154000
1983,225000
1494,177500
2526,290000
1616,232000
1708,130000
1652,325000
1368,202500
990,388000
1122,147000
1294,179200
1902,335000
1274,203000
2810,302000
2599,333168
1948,179000
2112,206900
1630,295493
1352,208900
1787,275000
1398,311000
1478,156500
1272,223500
1923,190000
1170,223900
1795,147000
279,235000
477,229000
816,303500
2792,256000
1632,176500
1588,227000
954,323500
816,236000
1360,125500
1365,125000
1334,167900
1656,135000
269,254300
1861,200000
864,283500
1372,230200
1114,155000
2169,228500
1913,177000
1456,155835
960,823500
2156,262500
1776,283463
1494,215000
2358,122000
2634,200000
1716,171000
1176,134900
3238,410000
1865,235000
1920,170000
892,130000
1078,149900
1573,177500
1980,315000
2601,189000
1530,260000
1738,104900
1412,156932
1200,144152
1674,216000
1790,193000
1475,127000
848,440400
1668,232000
1661,165500
2633,466500
1571,239000
1604,117000
1394,167500
2117,237500
1416,112000
1154,125500
2526,136000
1218,131000
1584,124000
1912,163000
1500,246578
2482,281213
1687,160000
1904,138000
1158,120000
1294,193879
1214,105000
768,333000
1363,125500
1840,230000
1844,257000
2450,340000
1069,127500
987,187690